genre,rating
Comedy,8.25
Mystery,8.25
Police,8.25
Shounen,8.25
Comedy,8.25
School,8.25
Shounen,8.25
Sports,8.25
Action,8.25
Adventure,8.25
Comedy,8.25
Fantasy,8.25
Magic,8.25
Shounen,8.25
Drama,8.25
Music,8.25
School,8.25
Action,8.25
Adventure,8.25
Drama,8.25
Shounen,8.25
Supernatural,8.25
Comedy,8.25
Drama,8.25
Romance,8.25
Slice of Life,8.25
Comedy,8.26
School,8.26
Seinen,8.26
Slice of Life,8.26
Action,8.25
Comedy,8.25
Martial Arts,8.25
School,8.25
Shounen,8.25
Adventure,8.25
Drama,8.25
Mecha,8.25
Sci-Fi,8.25
Shounen,8.25
Comedy,8.24
Romance,8.24
School,8.24
Action,8.24
Cars,8.24
Drama,8.24
Seinen,8.24
Sports,8.24
Comedy,8.24
Drama,8.24
Romance,8.24
Shounen Ai,8.24
Drama,8.24
Historical,8.24
Romance,8.24
Action,8.24
Historical,8.24
Military,8.24
Seinen,8.24
Comedy,8.24
Josei,8.24
Slice of Life,8.24
Action,8.24
Adventure,8.24
Fantasy,8.24
Magic,8.24
Shounen,8.24
Action,8.24
Drama,8.24
Mecha,8.24
Military,8.24
Sci-Fi,8.24
Space,8.24
Romance,8.24
School,8.24
Slice of Life,8.24
Action,8.24
Adventure,8.24
Martial Arts,8.24
Shounen,8.24
Super Power,8.24
Supernatural,8.24
Action,8.24
Adventure,8.24
Fantasy,8.24
Historical,8.24
Action,8.23
Adventure,8.23
Comedy,8.23
Fantasy,8.23
Romance,8.23
Shoujo,8.23
Adventure,8.23
Comedy,8.23
Mystery,8.23
Police,8.23
Shounen,8.23
Action,8.23
Mystery,8.23
Supernatural,8.23
Comedy,8.23
School,8.23
Slice of Life,8.23
Drama,8.23
Shoujo,8.23
Drama,8.23
Historical,8.23
Mystery,8.23
Romance,8.23
Comedy,8.23
Drama,8.23
Shounen,8.23
Sports,8.23
Action,8.23
Cars,8.23
Drama,8.23
Seinen,8.23
Sports,8.23
Action,8.23
Comedy,8.23
School,8.23
Super Power,8.23
Comedy,8.23
Romance,8.23
Shoujo,8.23
Dementia,8.23
Drama,8.23
Horror,8.23
Psychological,8.23
Comedy,8.23
Fantasy,8.23
Magic,8.23
Romance,8.23
Sci-Fi,8.23
Seinen,8.23
Action,8.23
Adventure,8.23
Drama,8.23
Fantasy,8.23
Magic,8.23
Mystery,8.23
Romance,8.23
Shounen,8.23
Supernatural,8.23
Drama,8.22
Sports,8.22
Action,8.22
Adventure,8.22
Comedy,8.22
Fantasy,8.22
Magic,8.22
Shounen,8.22
Mecha,8.22
Military,8.22
Mystery,8.22
Police,8.22
Sci-Fi,8.22
Seinen,8.22
Action,8.22
Adventure,8.22
Fantasy,8.22
Magic,8.22
Shounen,8.22
Drama,8.22
Fantasy,8.22
Psychological,8.22
Shoujo,8.22
Action,8.22
Comedy,8.22
Mecha,8.22
Adventure,8.21
Comedy,8.21
Mystery,8.21
Police,8.21
Shounen,8.21
Action,8.21
Mecha,8.21
Sci-Fi,8.21
Action,8.21
Comedy,8.21
School,8.21
Action,8.21
Drama,8.21
Military,8.21
Sci-Fi,8.21
Space,8.21
Action,8.21
Drama,8.21
Mystery,8.21
Supernatural,8.21
Thriller,8.21
Action,8.21
Drama,8.21
Mecha,8.21
Military,8.21
Sci-Fi,8.21
Space,8.21
Comedy,8.21
Mystery,8.21
Supernatural,8.21
Comedy,8.21
Mystery,8.21
Supernatural,8.21
Action,8.2
Comedy,8.2
School,8.2
Shounen,8.2
Fantasy,8.2
Sci-Fi,8.2
Shounen,8.2
Slice of Life,8.2
Romance,8.2
School,8.2
Shounen,8.2
Sports,8.2
Action,8.2
Adventure,8.2
Comedy,8.2
Shounen,8.2
Action,8.2
Military,8.2
Sci-Fi,8.2
Space,8.2
Action,8.2
Comedy,8.2
Historical,8.2
Parody,8.2
Samurai,8.2
Sci-Fi,8.2
Shounen,8.2
Adventure,8.2
Comedy,8.2
Shounen,8.2
Action,8.2
Drama,8.2
Mecha,8.2
Sci-Fi,8.2
Space,8.2
Comedy,8.2
Sports,8.2
Adventure,8.2
Comedy,8.2
Drama,8.2
Fantasy,8.2
Historical,8.2
Romance,8.2
Comedy,8.2
Drama,8.2
Romance,8.2
Shounen Ai,8.2
Drama,8.19
Slice of Life,8.19
Supernatural,8.19
Adventure,8.19
Comedy,8.19
Drama,8.19
Mystery,8.19
Sci-Fi,8.19
Adventure,8.19
Drama,8.19
Mecha,8.19
Romance,8.19
Sci-Fi,8.19
Action,8.19
Mecha,8.19
Mystery,8.19
Police,8.19
Psychological,8.19
Sci-Fi,8.19
Seinen,8.19
Action,8.19
Comedy,8.19
Parody,8.19
Samurai,8.19
Comedy,8.19
School,8.19
Slice of Life,8.19
Comedy,8.19
Game,8.19
Shounen,8.19
Supernatural,8.19
Romance,8.19
School,8.19
Shoujo,8.19
Slice of Life,8.19
Comedy,8.19
Drama,8.19
Romance,8.19
School,8.19
Slice of Life,8.19
Supernatural,8.19
Drama,8.19
Adventure,8.18
Comedy,8.18
Drama,8.18
Fantasy,8.18
Magic,8.18
Romance,8.18
School,8.18
Shoujo,8.18
Drama,8.18
Mystery,8.18
Romance,8.18
Supernatural,8.18
Comedy,8.18
School,8.18
Shounen,8.18
Slice of Life,8.18
Comedy,8.18
Drama,8.18
Josei,8.18
Romance,8.18
Comedy,8.18
Drama,8.18
Romance,8.18
Shoujo,8.18
Music,8.18
School,8.18
Slice of Life,8.18
Fantasy,8.18
Magic,8.18
Comedy,8.18
Drama,8.18
Romance,8.18
Shounen Ai,8.18
Comedy,8.18
Romance,8.18
Slice of Life,8.18
Action,8.17
Seinen,8.17
Action,8.17
Mystery,8.17
Police,8.17
Shounen,8.17
Action,8.17
Fantasy,8.17
Super Power,8.17
Horror,8.17
Mystery,8.17
Psychological,8.17
Supernatural,8.17
Thriller,8.17
Mystery,8.17
School,8.17
Slice of Life,8.17
Adventure,8.17
Drama,8.17
Music,8.17
Sci-Fi,8.17
Drama,8.17
Romance,8.17
Slice of Life,8.17
Supernatural,8.17
Romance,8.17
School,8.17
Shoujo,8.17
Slice of Life,8.17
Action,8.17
Adventure,8.17
Shounen,8.17
Supernatural,8.17
Action,8.17
Fantasy,8.17
Seinen,8.17
Supernatural,8.17
Comedy,8.17
Drama,8.17
Mystery,8.17
Psychological,8.17
Supernatural,8.17
Action,8.17
Drama,8.17
Fantasy,8.17
Magic,8.17
Mystery,8.17
Psychological,8.17
Shounen,8.17
Comedy,8.16
Shounen,8.16
Slice of Life,8.16
Adventure,8.16
Comedy,8.16
Mystery,8.16
Police,8.16
Shounen,8.16
Adventure,8.16
Comedy,8.16
Mystery,8.16
Police,8.16
Shounen,8.16
Adventure,8.16
Comedy,8.16
Fantasy,8.16
Martial Arts,8.16
Shounen,8.16
Super Power,8.16
Comedy,8.16
Drama,8.16
Slice of Life,8.16
Supernatural,8.16
Comedy,8.16
Drama,8.16
Romance,8.16
Shounen Ai,8.16
Action,8.16
Adventure,8.16
Fantasy,8.16
Magic,8.16
Supernatural,8.16
Action,8.16
Shounen,8.16
Sports,8.16
Adventure,8.16
Drama,8.16
Sci-Fi,8.16
Action,8.16
Adventure,8.16
Comedy,8.16
Fantasy,8.16
Shounen,8.16
Super Power,8.16
Action,8.16
Drama,8.16
Seinen,8.16
Thriller,8.16
Comedy,8.16
Romance,8.16
Slice of Life,8.16
Action,8.16
Sci-Fi,8.16
Super Power,8.16
Drama,8.16
Romance,8.16
School,8.16
Shounen,8.16
Slice of Life,8.16
Sports,8.16
Comedy,8.16
Drama,8.16
Shounen,8.16
Sports,8.16
Action,8.15
Adventure,8.15
Horror,8.15
Military,8.15
Sci-Fi,8.15
Supernatural,8.15
Action,8.15
Seinen,8.15
Action,8.15
Mystery,8.15
Supernatural,8.15
Action,8.15
Comedy,8.15
Historical,8.15
Parody,8.15
Samurai,8.15
Shounen,8.15
School,8.15
Slice of Life,8.15
Sports,8.15
Comedy,8.15
Shounen,8.15
Action,8.15
Demons,8.15
Shounen,8.15
Supernatural,8.15
